step,loss,eval_loss
0,3.147734,2.993567
1,3.356170,
2,3.089890,
3,3.211765,
4,2.840632,
5,2.835851,
6,2.757705,
7,2.943030,
8,2.887222,
9,2.994643,
10,2.893870,
11,2.921017,
12,2.674931,
13,3.035913,
14,2.615274,
15,2.786263,
16,3.010924,
17,2.935692,
18,2.835773,
19,3.078119,
20,2.977082,
21,3.007998,
22,2.829661,
23,2.933828,
24,2.983074,
25,2.966954,2.979431
26,3.201128,
27,3.081608,
28,2.996956,
29,3.013468,
30,2.969188,
31,3.130630,
32,3.178872,
33,3.177918,
34,3.184960,
35,3.083668,
36,3.153197,
37,3.182227,
38,2.889998,
39,2.992199,
40,3.146974,
41,3.257610,
42,3.190353,
43,3.254113,
44,3.250259,
45,3.157749,
46,3.122378,
47,2.995273,
48,3.171733,
49,3.239074,
50,3.039440,3.218650
51,3.484100,
52,3.238179,
53,3.444943,
54,3.334937,
55,3.325240,
56,3.465234,
57,3.432187,
58,3.322589,
59,3.178159,
60,3.503908,
61,3.431651,
62,3.300215,
63,3.275424,
64,3.401712,
65,3.311793,
66,3.111347,
67,3.386672,
68,2.993481,
69,3.111279,
70,3.332590,
71,3.257684,
72,3.239618,
73,3.458542,
74,3.050240,
75,3.237161,3.323123
76,3.049198,
77,3.150090,
78,3.213881,
79,3.191603,
80,3.214126,
81,3.493314,
82,3.330955,
83,3.295370,
84,3.314001,
85,3.281032,
86,3.510048,
87,3.290298,
88,3.297502,
89,3.340225,
90,3.062577,
91,3.445222,
92,3.570899,
93,3.310656,
94,3.278003,
95,3.086689,
96,3.255213,
97,3.481032,
98,3.549064,
99,3.312574,
100,3.315704,3.375275
101,3.275510,
102,3.592281,
103,3.381203,
104,3.533617,
105,3.220597,
106,3.054777,
107,3.322159,
108,3.349736,
109,3.458478,
110,3.248508,
111,3.266963,
112,3.192044,
113,3.372906,
114,3.280967,
115,3.366647,
116,3.069641,
117,3.322635,
118,3.404401,
119,3.392447,
120,3.189145,
121,3.527135,
122,3.331436,
123,3.336302,
124,3.339364,
125,3.434907,3.467197
126,3.449785,
127,3.390544,
128,3.285260,
129,3.345055,
130,3.471798,
131,3.415864,
132,3.074470,
133,3.549662,
134,3.494174,
135,3.497406,
136,3.668223,
137,3.436806,
138,3.301175,
139,3.217340,
140,3.233943,
141,3.334547,
142,3.421490,
143,3.689795,
144,3.281188,
145,3.613551,
146,3.439963,
147,3.392294,
148,3.371951,
149,3.265528,
150,3.460192,3.507924
151,3.460304,
152,3.339601,
153,3.297373,
154,3.192994,
155,3.109108,
156,3.373220,
157,3.194505,
158,3.427185,
159,3.242800,
160,3.394265,
161,3.462001,
162,3.390626,
163,3.594435,
164,3.412876,
165,3.287366,
166,3.089335,
167,3.254401,
168,3.148714,
169,3.340975,
170,3.372762,
171,3.235352,
172,3.554521,
173,3.328562,
174,3.506675,
175,3.270080,3.426352
176,3.309835,
177,3.542984,
178,3.376490,
179,3.566262,
180,3.427307,
181,3.311183,
182,3.310803,
183,3.595747,
184,3.477110,
185,3.423190,
186,3.278228,
187,3.155861,
188,3.356605,
189,3.336675,
190,3.429227,
191,3.216439,
192,3.249382,
193,3.371975,
194,3.412589,
195,3.514443,
196,3.585668,
197,3.195047,
198,3.343162,
199,3.270616,
200,3.303408,3.464528
201,3.421056,
202,3.233883,
203,3.524061,
204,3.196556,
205,3.384612,
206,3.486363,
207,3.431983,
208,3.048455,
209,2.976217,
210,3.454102,
211,3.177420,
212,3.470280,
213,3.380971,
214,3.454179,
215,3.128162,
216,3.380203,
217,3.602109,
218,3.160421,
219,3.393841,
220,3.482248,
221,3.251418,
222,3.638927,
223,3.354837,
224,3.293147,
225,3.708509,3.435105
226,3.285459,
227,3.422183,
228,3.555159,
229,3.392711,
230,3.368767,
231,3.171893,
232,2.990505,
233,3.270666,
234,3.550765,
235,3.325478,
236,3.499374,
237,3.339833,
238,3.236137,
239,3.247188,
240,3.342197,
241,3.346673,
242,3.291646,
243,3.301911,
244,3.496262,
245,3.292455,
246,3.306156,
247,3.187538,
248,3.449107,
249,3.275950,
250,3.189521,3.466466
251,3.557808,
252,3.096814,
253,3.105067,
254,3.366345,
255,3.221782,
256,3.202651,
