step,loss,eval_loss
0,3.075161,3.005393
1,2.993327,
2,3.144397,
3,2.871240,
4,2.910795,
5,2.883299,
6,2.945105,
7,2.881521,
8,2.879666,
9,3.263257,
10,3.069619,
11,3.154449,
12,3.056064,
13,2.740813,
14,3.150151,
15,3.021039,
16,2.970870,
17,2.960326,
18,2.959725,
19,2.691577,
20,2.955330,
21,2.985295,
22,2.910119,
23,2.762456,
24,2.809892,
25,2.742627,2.822287
26,2.781342,
27,2.970656,
28,2.688312,
29,2.785336,
30,2.849451,
31,2.576219,
32,2.863039,
33,2.737739,
34,3.042615,
35,2.626781,
36,2.987880,
37,3.123295,
38,2.914775,
39,2.815336,
40,2.956502,
41,2.829789,
42,2.810961,
43,2.955089,
44,3.133107,
45,2.749696,
46,2.902740,
47,3.351940,
48,3.364314,
49,4.218530,
50,4.295983,3.706428
51,3.608434,
52,3.300036,
53,3.398392,
54,3.063144,
55,3.019792,
56,2.811773,
57,2.895915,
58,3.070807,
59,3.000055,
60,2.768053,
61,3.137363,
62,3.003424,
63,3.090183,
64,3.041778,
65,3.280506,
66,3.018763,
67,2.777147,
68,3.016532,
69,3.057762,
70,3.032019,
71,2.951778,
72,2.952538,
73,2.993551,
74,2.789245,
75,2.789810,2.996230
76,3.032817,
77,2.975741,
78,2.956642,
79,3.019463,
80,3.019434,
81,3.042523,
82,2.899588,
83,2.874595,
84,2.931210,
85,2.992521,
86,3.261899,
87,2.981129,
88,3.105387,
89,3.121735,
90,3.057925,
91,3.155675,
92,3.184463,
93,3.091118,
94,2.922534,
95,3.135568,
96,3.165385,
97,2.942706,
98,3.129832,
99,3.033782,
100,3.005098,3.064852
101,3.123706,
102,3.197439,
103,3.327027,
104,3.127267,
105,2.961569,
106,3.155140,
107,2.793595,
108,2.803823,
109,3.109226,
110,3.223392,
111,2.879910,
112,3.134733,
113,3.074377,
114,3.079714,
115,3.056027,
116,2.829879,
117,2.951428,
118,3.095336,
119,3.026605,
120,3.172841,
121,3.201912,
122,3.060550,
123,3.283973,
124,3.034058,
125,3.297207,3.072348
126,3.071502,
127,2.888554,
128,3.059195,
129,3.282559,
130,2.955537,
131,3.169613,
132,3.037280,
133,3.041480,
134,2.839333,
135,3.167303,
136,3.110537,
137,3.047879,
138,3.207422,
139,3.085737,
140,3.158167,
141,3.290175,
142,3.080009,
143,3.074365,
144,3.015162,
145,3.218107,
146,2.876216,
147,3.008523,
148,3.215853,
149,3.228650,
150,3.226507,3.054414
151,3.073508,
152,3.120015,
153,3.010185,
154,3.242522,
155,3.070152,
156,3.106837,
157,3.191186,
158,2.975811,
159,3.133344,
160,2.960723,
161,3.181206,
162,3.469587,
163,3.191288,
164,3.248842,
165,3.050080,
166,3.063013,
167,2.710294,
168,3.014794,
169,3.396604,
170,3.071726,
171,2.867270,
172,3.009736,
173,3.182299,
174,3.257828,
175,3.049090,3.068644
176,3.072089,
177,3.077204,
178,2.971601,
179,2.923352,
180,2.791148,
181,3.190381,
182,3.110030,
183,3.211623,
184,3.056219,
185,3.100344,
186,3.023997,
187,3.076857,
188,3.116461,
189,2.934225,
190,3.211181,
191,3.188307,
192,3.180671,
193,2.965283,
194,3.185433,
195,3.048739,
196,3.096370,
197,3.087660,
198,3.034585,
199,2.955821,
200,3.214368,3.062238
201,2.930996,
202,3.087894,
203,3.155816,
204,2.935852,
205,3.174727,
206,3.232737,
207,3.213197,
208,2.969028,
209,2.812600,
210,2.928437,
211,2.827791,
212,3.092952,
213,3.213317,
214,3.151806,
215,3.069844,
216,2.709114,
217,3.155481,
218,2.596961,
219,3.108212,
220,3.075088,
221,3.085565,
222,3.182382,
223,3.399965,
224,3.008736,
225,3.028727,3.071872
226,3.128558,
227,3.112816,
228,3.117638,
229,3.062825,
230,2.902021,
231,3.102520,
232,3.087039,
233,3.172789,
234,3.056614,
235,3.092528,
236,2.907786,
237,2.938442,
238,2.937071,
239,2.707866,
240,3.119060,
241,3.130846,
242,3.192981,
243,2.794389,
244,3.132753,
245,3.187748,
246,3.035298,
247,3.141677,
248,3.126855,
249,3.111166,
250,3.064835,3.107953
251,3.012817,
252,2.938834,
253,3.164790,
254,3.008799,
255,2.976133,
256,3.032717,
257,2.586358,
258,3.063354,
259,3.569247,
260,3.138820,
261,2.985977,
262,3.136185,
263,3.111771,
264,3.142848,
265,3.038677,
266,3.191805,
267,3.070569,
268,3.111930,
269,3.133626,
270,3.138049,
271,3.062427,
272,3.159148,
273,3.408195,
274,2.998597,
275,3.061996,3.105883
276,3.108863,
277,3.001744,
278,3.037992,
279,2.926997,
280,2.888973,
281,3.095309,
282,3.041507,
283,2.884561,
284,3.247135,
285,3.184584,
286,3.152596,
287,3.234144,
288,3.100951,
289,3.083770,
290,2.936603,
291,2.932986,
292,3.090050,
293,3.059373,
294,3.292623,
295,3.164561,
296,3.021596,
297,2.924292,
298,2.998237,
299,3.004186,
300,3.136760,3.135997
301,3.221905,
302,2.953198,
303,3.157281,
304,3.027951,
305,2.966867,
306,3.035867,
307,3.186962,
308,3.009609,
309,3.177916,
310,2.977718,
311,3.001583,
312,2.857201,
313,3.225025,
314,3.175365,
315,2.947821,
316,3.001091,
317,2.932367,
318,3.011987,
319,3.032811,
320,3.107485,
321,2.972220,
322,3.318888,
323,3.468373,
324,2.868706,
325,3.074980,3.164804
326,3.113708,
327,2.706788,
328,2.949786,
329,3.288262,
330,2.731989,
331,2.858455,
332,3.214817,
333,3.310073,
334,2.922078,
335,2.891809,
336,2.918646,
337,2.926113,
338,3.070132,
339,3.081384,
340,3.132279,
341,2.980470,
342,3.067046,
343,3.001164,
344,3.041221,
345,3.102372,
346,3.035395,
347,3.006822,
348,3.179134,
349,2.886764,
350,2.944552,3.110593
351,3.152730,
352,3.291685,
353,2.992008,
354,3.106153,
355,3.068487,
356,3.038301,
357,3.271414,
358,3.322464,
359,3.103104,
360,3.071515,
361,3.071759,
362,3.452264,
363,2.818330,
364,2.911020,
365,3.001647,
366,3.238193,
367,3.093580,
368,3.027838,
369,3.118480,
370,3.144138,
371,2.830925,
372,3.066700,
373,3.283270,
374,3.337721,
375,3.219358,3.145144
376,2.904541,
377,2.999407,
378,2.902336,
379,3.150417,
380,2.976483,
381,3.099144,
382,3.143577,
383,3.085752,
384,2.944933,
385,2.991717,
386,3.134684,
387,3.109352,
388,2.960118,
389,3.190648,
390,2.939065,
391,2.740660,
392,3.274211,
393,2.805784,
394,3.177643,
395,2.945821,
396,3.156560,
397,2.818063,
398,2.959362,
399,3.320635,3.172587
