step,loss,eval_loss
0,3.147734,3.015428
1,3.378250,
2,3.145687,
3,3.285733,
4,2.908832,
5,2.890037,
6,2.834819,
7,3.004793,
8,2.957778,
9,3.077819,
10,2.966415,
11,2.966994,
12,2.691467,
13,3.014724,
14,2.659320,
15,2.803523,
16,2.950601,
17,2.897962,
18,2.804211,
19,3.015725,
20,2.947820,
21,2.945185,
22,2.798799,
23,2.847842,
24,2.863514,
25,2.861326,2.837327
26,3.068366,
27,2.924656,
28,2.834098,
29,2.805540,
30,2.805982,
31,2.963798,
32,2.957962,
33,2.950592,
34,2.960690,
35,2.848343,
36,2.894087,
37,2.918148,
38,2.650540,
39,2.745943,
40,2.859925,
41,2.903112,
42,2.851276,
43,2.946239,
44,2.833755,
45,2.767707,
46,2.780760,
47,2.626195,
48,2.791733,
49,2.821223,
50,2.687574,2.784218
51,3.088566,
52,2.864706,
53,2.908298,
54,2.804433,
55,2.787732,
56,2.872071,
57,2.943010,
58,2.703191,
59,2.681413,
60,2.971580,
61,2.878888,
62,2.894906,
63,2.798859,
64,3.023478,
65,2.903054,
66,2.647573,
67,2.913077,
68,2.559490,
69,2.672908,
70,2.819111,
71,2.764383,
72,2.729448,
73,2.878095,
74,2.620547,
75,2.804286,2.779950
76,2.581090,
77,2.692859,
78,2.740651,
79,2.686990,
80,2.726696,
81,2.986703,
82,2.843871,
83,2.718770,
84,2.790086,
85,2.677421,
86,2.972897,
87,2.830629,
88,2.802031,
89,2.811401,
90,2.617205,
91,2.972381,
92,3.021868,
93,2.837985,
94,2.724428,
95,2.553070,
96,2.725993,
97,2.947620,
98,2.915213,
99,2.809562,
100,2.801358,2.772092
101,2.738732,
102,3.032922,
103,2.888214,
104,2.972455,
105,2.690603,
106,2.564815,
107,2.806466,
108,2.766829,
109,2.818409,
110,2.684655,
111,2.692568,
112,2.661693,
113,2.840604,
114,2.765032,
115,2.815306,
116,2.531826,
117,2.769294,
118,2.848827,
119,2.833984,
120,2.653871,
121,2.876656,
122,2.822776,
123,2.815068,
124,2.831810,
125,2.775024,2.775729
126,2.911630,
127,2.817246,
128,2.756302,
129,2.775311,
130,2.952193,
131,2.827660,
132,2.527629,
133,2.952217,
134,2.790744,
135,2.765146,
136,2.975562,
137,2.851089,
138,2.768646,
139,2.685586,
140,2.670893,
141,2.694690,
142,2.742091,
143,3.000184,
144,2.759691,
145,2.948884,
146,2.795303,
147,2.833314,
148,2.811681,
149,2.701019,
150,2.847159,2.772082
151,2.845969,
152,2.780973,
153,2.705667,
154,2.690616,
155,2.539148,
156,2.843075,
157,2.654746,
158,2.856426,
159,2.681598,
160,2.811825,
161,2.859674,
162,2.757368,
163,2.916724,
164,2.840960,
165,2.704398,
166,2.554172,
167,2.650361,
168,2.627139,
169,2.792882,
170,2.789206,
171,2.725146,
172,2.938954,
173,2.718030,
174,2.904946,
175,2.672778,2.760822
176,2.735298,
177,2.930639,
178,2.803724,
179,2.982876,
180,2.813237,
181,2.712690,
182,2.774716,
183,2.949007,
184,2.875367,
185,2.841936,
186,2.729643,
187,2.664030,
188,2.780798,
189,2.717388,
190,2.841349,
191,2.657110,
192,2.710292,
193,2.826134,
194,2.745414,
195,2.925262,
196,2.907027,
197,2.657184,
198,2.676150,
199,2.745521,
200,2.791040,2.757001
201,2.887319,
202,2.706410,
203,2.905889,
204,2.687094,
205,2.844154,
206,2.843565,
207,2.818183,
208,2.559940,
209,2.499611,
210,2.819199,
211,2.633124,
212,2.937137,
213,2.815781,
214,2.814154,
215,2.556829,
216,2.881650,
217,3.076367,
218,2.673310,
219,2.825038,
220,2.836315,
221,2.631273,
222,3.003281,
223,2.762336,
224,2.735171,
225,3.052798,2.749295
226,2.764615,
227,2.778245,
228,2.909284,
229,2.837224,
230,2.841575,
231,2.647624,
232,2.539883,
233,2.773084,
234,2.919685,
235,2.695373,
236,2.941242,
237,2.730990,
238,2.694444,
239,2.657950,
240,2.709261,
241,2.756699,
242,2.717866,
243,2.783851,
244,2.916953,
245,2.798607,
246,2.753613,
247,2.597348,
248,2.845964,
249,2.717234,
250,2.657498,2.748381
251,2.938745,
252,2.588967,
253,2.588294,
254,2.718738,
255,2.701427,
256,2.680300,
257,2.632203,
258,2.717217,
259,2.542506,
260,2.740762,
261,2.675979,
262,2.873712,
263,2.715711,
264,2.902303,
265,2.536949,
266,2.644901,
267,2.786873,
268,2.524059,
269,2.677855,
270,2.794911,
271,2.743702,
272,2.781754,
273,2.976697,
274,2.887244,
275,2.844503,2.748255
276,2.800312,
277,2.611479,
278,2.687633,
279,2.934911,
280,2.782839,
281,2.751887,
282,2.671478,
283,2.649849,
284,2.789149,
285,2.790491,
286,2.764395,
287,2.889489,
288,2.880462,
289,2.864801,
290,2.730359,
291,2.504839,
292,2.561333,
293,2.834080,
294,2.867516,
295,2.821862,
296,2.862179,
297,2.644072,
298,2.760498,
299,2.923910,
300,2.941914,2.752066
301,2.731460,
302,2.772963,
303,2.649393,
304,2.896777,
305,2.876771,
306,2.872841,
307,2.868469,
308,2.490315,
309,2.755387,
310,2.677814,
311,2.838780,
312,2.745441,
313,2.856207,
314,2.877725,
315,2.983107,
316,2.818292,
317,2.900826,
318,2.785166,
319,2.625463,
320,2.556719,
321,3.096794,
322,3.088966,
323,2.911541,
324,2.911041,
325,2.573255,2.753782
326,2.713567,
327,2.831127,
328,2.757292,
329,2.785551,
330,2.639287,
331,2.772587,
332,2.944333,
333,2.774426,
334,2.613405,
335,2.648732,
336,2.921217,
337,2.842766,
338,2.829729,
339,2.754243,
340,2.674148,
341,2.626334,
342,2.633327,
343,2.762511,
344,2.666919,
345,2.823268,
346,2.779341,
347,2.657394,
348,2.799238,
349,2.759476,
350,2.770515,2.742161
351,2.530017,
352,2.905638,
353,2.657122,
354,2.838020,
355,2.803568,
356,2.679009,
357,2.862173,
358,2.869414,
359,2.907599,
360,2.574735,
361,2.887403,
362,2.890261,
363,2.768589,
364,3.016620,
365,2.539772,
366,2.991562,
367,2.723579,
368,2.773640,
369,2.763700,
370,2.872133,
371,2.640152,
372,2.795086,
373,2.699230,
374,2.704805,
375,3.000996,2.749590
376,2.571124,
377,2.486557,
378,2.888688,
379,2.735536,
380,2.783139,
381,3.087349,
382,2.536848,
383,2.992459,
384,2.756667,
385,2.718359,
386,2.743070,
387,2.708783,
388,2.587911,
389,2.621620,
390,2.774590,
391,2.946227,
392,2.751068,
393,2.728591,
394,2.597227,
395,2.810084,
396,3.018120,
397,2.773430,
398,2.899515,
399,2.702623,2.735642
