step,loss,eval_loss
0,3.147734,3.009635
1,3.372181,
2,3.129910,
3,3.255144,
4,2.868997,
5,2.849030,
6,2.772769,
7,2.955980,
8,2.898019,
9,3.001495,
10,2.879826,
11,2.896299,
12,2.613156,
13,2.946164,
14,2.567335,
15,2.725043,
16,2.905412,
17,2.828148,
18,2.741277,
19,2.972925,
20,2.886557,
21,2.875556,
22,2.746004,
23,2.820786,
24,2.828389,
25,2.829983,2.817716
26,3.044061,
27,2.927016,
28,2.816714,
29,2.814403,
30,2.804993,
31,2.939352,
32,2.990169,
33,2.958562,
34,2.972994,
35,2.885727,
36,2.921440,
37,2.949058,
38,2.672217,
39,2.763638,
40,2.928943,
41,2.957555,
42,2.928915,
43,3.008394,
44,2.947487,
45,2.889685,
46,2.893704,
47,2.745099,
48,2.906198,
49,2.942802,
50,2.797298,3.023299
51,3.201100,
52,3.081745,
53,3.046229,
54,3.118142,
55,2.942419,
56,3.075701,
57,3.101131,
58,2.870569,
59,2.833035,
60,3.142100,
61,3.058064,
62,3.036359,
63,2.985295,
64,3.338229,
65,3.042851,
66,2.855945,
67,3.092612,
68,2.769547,
69,2.871525,
70,3.006593,
71,3.000328,
72,2.912108,
73,3.124441,
74,2.830604,
75,3.003788,3.039314
76,2.798161,
77,2.865921,
78,2.943321,
79,2.898419,
80,3.005095,
81,3.213747,
82,3.038898,
83,2.995672,
84,3.019311,
85,2.904998,
86,3.208668,
87,3.050003,
88,3.010662,
89,3.044016,
90,2.806151,
91,3.146861,
92,3.237632,
93,3.080575,
94,2.940650,
95,2.771988,
96,2.957658,
97,3.196919,
98,3.204841,
99,3.041557,
100,3.050784,3.081337
101,3.003666,
102,3.317299,
103,3.186465,
104,3.270207,
105,3.016359,
106,2.806564,
107,3.070462,
108,2.994722,
109,3.136255,
110,2.964404,
111,2.963827,
112,2.940088,
113,3.110624,
114,3.023861,
115,3.067684,
116,2.781427,
117,3.057906,
118,3.101009,
119,3.102271,
120,2.945737,
121,3.264706,
122,3.111509,
123,3.063571,
124,3.082189,
125,3.225734,3.147832
126,3.201444,
127,3.096642,
128,3.067384,
129,3.104429,
130,3.286315,
131,3.133290,
132,2.823685,
133,3.239234,
134,3.100319,
135,3.072824,
136,3.272019,
137,3.086149,
138,2.997748,
139,2.925334,
140,2.928473,
141,2.995955,
142,3.004981,
143,3.308338,
144,2.980455,
145,3.304177,
146,3.116100,
147,3.084677,
148,3.060034,
149,2.968794,
150,3.144771,3.112326
151,3.126985,
