step,loss,eval_loss
0,3.147733,2.994569
1,3.357085,
2,3.091821,
3,3.212663,
4,2.840261,
5,2.834569,
6,2.756477,
7,2.941754,
8,2.884405,
9,2.992491,
10,2.889550,
11,2.915576,
12,2.670232,
13,3.028442,
14,2.608409,
15,2.777003,
16,3.001559,
17,2.926759,
18,2.825078,
19,3.068344,
20,2.966094,
21,2.995550,
22,2.824014,
23,2.921593,
24,2.974309,
25,2.967011,2.968851
26,3.188884,
27,3.075717,
28,2.988200,
29,3.005286,
30,2.957138,
31,3.114424,
32,3.152750,
33,3.154641,
34,3.161315,
35,3.057994,
36,3.134015,
37,3.168577,
38,2.866243,
39,2.960227,
40,3.119597,
41,3.178429,
42,3.129777,
43,3.200485,
44,3.167621,
45,3.119737,
46,3.067356,
47,2.970090,
48,3.138655,
49,3.203604,
50,3.019677,3.271499
51,3.467117,
52,3.176565,
53,3.314238,
54,3.208566,
55,3.174721,
56,3.359934,
57,3.374307,
58,3.188314,
59,3.148737,
60,3.446761,
61,3.382704,
62,3.291257,
63,3.243921,
64,3.463032,
65,3.351859,
66,3.163165,
67,3.409029,
68,3.073748,
69,3.139055,
70,3.335034,
71,3.259782,
72,3.217520,
73,3.475667,
74,3.036116,
75,3.271627,3.312646
76,3.013211,
77,3.129438,
78,3.141121,
79,3.146575,
80,3.162164,
81,3.440552,
82,3.267088,
83,3.278933,
84,3.294222,
85,3.193595,
86,3.526510,
87,3.283133,
88,3.302066,
89,3.300575,
90,3.036960,
91,3.419840,
92,3.629436,
93,3.351578,
94,3.306976,
95,3.033449,
96,3.248368,
97,3.497453,
98,3.468185,
99,3.307882,
100,3.306662,3.388842
101,3.270725,
102,3.617591,
103,3.451753,
104,3.611887,
105,3.361091,
106,3.140625,
107,3.335371,
108,3.342297,
109,3.432636,
110,3.191932,
111,3.213920,
112,3.181371,
113,3.374562,
114,3.293875,
115,3.479840,
116,3.049058,
117,3.329549,
118,3.326844,
119,3.378734,
120,3.230522,
121,3.575332,
122,3.311594,
123,3.344252,
124,3.338122,
125,3.373810,3.439187
126,3.466064,
127,3.390072,
128,3.307904,
129,3.360473,
130,3.615484,
131,3.518227,
132,3.234457,
133,3.782246,
134,4.287578,
135,4.823560,
136,4.702656,
137,4.723453,
138,4.243706,
139,3.837466,
140,3.630547,
141,3.929047,
142,4.026467,
143,4.266151,
144,3.679474,
145,3.980833,
146,3.765739,
147,3.636866,
148,3.592479,
149,3.367980,
150,3.594528,3.543291
151,3.521909,
152,3.423218,
153,3.382222,
154,3.281167,
155,3.193419,
156,3.511364,
157,3.284098,
158,3.700553,
159,3.641571,
160,3.729674,
161,3.649755,
162,3.515157,
163,3.875902,
164,3.633093,
165,3.465917,
166,3.276127,
167,3.399892,
168,3.347922,
169,3.581980,
170,3.610496,
171,3.406615,
172,3.727388,
173,3.444382,
174,3.640055,
175,3.440137,3.661111
176,3.507238,
177,3.683969,
178,3.492209,
179,3.678841,
180,3.440198,
181,3.394306,
182,3.371071,
183,3.664816,
184,3.553062,
185,3.593970,
186,3.375082,
187,3.268804,
188,3.494782,
189,3.504782,
190,3.576506,
191,3.382081,
192,3.432590,
193,3.523595,
194,3.532104,
195,3.628392,
196,3.616657,
197,3.276167,
198,3.407378,
199,3.381165,
200,3.413402,3.576709
201,3.560352,
202,3.318916,
203,3.554302,
204,3.234051,
205,3.426943,
206,3.573107,
207,3.515680,
208,3.223451,
209,3.071537,
210,3.601622,
211,3.303141,
212,3.592972,
213,3.442600,
214,3.529039,
215,3.199149,
216,3.409606,
217,3.689684,
218,3.181030,
219,3.422856,
220,3.511349,
221,3.259993,
222,3.611581,
223,3.433917,
224,3.378057,
225,3.725252,3.498851
226,3.354539,
227,3.524435,
228,3.690813,
229,3.499598,
230,3.503804,
231,3.329720,
232,3.111377,
233,3.426361,
234,3.656564,
235,3.412448,
236,3.636540,
237,3.403736,
238,3.327827,
239,3.291640,
240,3.382034,
241,3.456932,
242,3.400629,
243,3.397202,
244,3.537314,
245,3.390099,
246,3.373817,
247,3.238979,
248,3.516620,
249,3.345752,
250,3.290625,3.518602
251,3.621689,
252,3.163849,
253,3.184147,
254,3.383301,
255,3.288118,
256,3.274446,
257,3.225672,
258,3.470233,
259,3.204986,
260,3.358341,
261,3.315066,
262,3.448562,
263,3.349499,
264,3.614254,
265,3.230995,
266,3.322052,
267,3.650425,
268,3.299170,
269,3.412478,
270,3.564839,
