step,loss
0,3.008367
1,3.444158
2,3.382460
3,3.209292
4,3.059443
5,3.137294
6,3.126945
7,2.989872
8,3.148191
9,3.056735
10,2.886671
11,2.978790
12,3.341962
13,3.119221
14,2.999349
15,3.335440
16,3.220593
17,3.000579
18,3.292326
19,2.878587
20,3.112718
21,3.109678
22,3.295024
23,3.161355
24,3.237542
25,3.214961
26,3.124774
27,3.258286
28,2.610741
29,3.075785
30,3.076810
31,3.142280
32,3.198915
33,3.388096
34,3.362888
35,3.178487
36,2.985797
37,3.049600
38,3.096637
39,3.303193
40,3.211299
41,3.032738
42,3.150351
43,3.065758
44,2.742054
45,3.322383
46,3.011247
47,3.196064
48,2.974028
49,3.312574
50,2.946084
51,3.218899
52,2.801236
53,3.027036
54,2.969405
55,3.091524
56,3.092057
57,3.276763
58,3.138710
59,3.181677
60,3.156052
61,2.833134
62,3.004546
63,3.244854
64,2.979440
65,3.047614
66,2.998659
67,2.884482
68,2.976222
69,3.167686
70,3.418109
71,2.988935
72,3.100469
73,2.880236
74,2.861333
75,3.142758
76,2.952474
77,3.074195
78,3.010530
79,3.122614
80,3.018641
81,3.071746
82,3.068082
83,3.161946
84,2.965805
85,2.987051
86,3.368684
87,2.951334
88,3.319742
89,3.386357
90,3.228451
91,2.972731
92,2.905159
93,3.033148
94,3.190754
95,3.045830
96,3.291781
97,2.959771
98,3.230368
99,3.008260
100,3.177747
101,3.008137
102,3.044350
103,3.026226
104,3.131677
105,3.251522
106,3.389595
107,2.990949
108,3.172010
109,3.009707
110,2.852619
111,3.369252
112,3.332604
113,3.332993
114,3.185821
115,3.168301
116,3.115365
117,3.170200
118,3.078846
119,3.416881
120,3.007840
121,2.928859
122,2.935836
123,3.097242
124,3.168878
125,2.975211
126,3.022001
127,2.983994
128,3.088490
129,3.084910
130,2.803660
131,3.143533
132,3.046737
133,3.221329
134,3.188782
135,3.068719
136,3.346453
137,3.319168
138,3.043529
139,3.281388
140,3.286553
141,3.016881
142,2.956092
143,3.246079
144,3.287673
145,3.244437
146,3.083035
147,3.184360
148,2.929473
149,3.161364
150,2.994034
151,3.075890
152,3.067813
153,3.158954
154,3.303308
155,2.909940
156,3.078538
157,3.159071
158,3.189735
159,3.094537
160,2.994176
161,3.256974
162,3.279287
163,3.315156
164,3.084387
165,3.413308
166,3.454941
167,3.543800
168,3.761924
169,3.441862
170,3.462185
171,3.546723
172,3.684169
173,3.543240
174,3.403937
175,3.631174
176,3.527932
177,3.287408
178,3.121186
179,3.353527
180,3.292130
181,3.152128
182,3.197377
183,3.414718
184,3.344154
185,3.365889
186,3.499820
187,3.518039
188,3.598731
189,3.809303
190,3.473338
191,3.328328
192,3.742083
193,3.873644
194,4.077545
195,4.431658
196,4.646133
197,4.580783
198,4.147718
199,3.939388
200,3.941481
201,3.839307
202,3.698552
203,3.530293
204,3.626762
205,3.595445
206,3.524245
207,3.656034
208,3.650975
209,3.438126
210,3.762654
211,3.475758
212,3.511842
213,3.613621
214,3.523157
215,3.383688
216,3.190603
217,3.464011
218,3.501311
219,3.377203
220,3.566399
221,3.543430
222,3.342657
223,3.583284
224,3.324295
225,3.416242
226,3.471003
227,3.349411
228,3.128544
229,3.403019
230,3.380379
231,3.399778
232,3.331483
233,3.288110
234,3.388150
235,3.088590
236,3.354364
237,3.173926
238,3.299899
239,3.057719
240,3.447523
241,3.056532
242,3.386598
243,3.257749
244,3.217439
245,3.020313
246,3.287545
247,3.151565
248,3.315726
249,3.230364
250,3.240000
251,3.119827
