step,loss
0,3.016050
1,3.399770
2,3.365544
3,3.065897
4,3.498274
5,3.272190
6,3.259686
7,2.908492
8,3.194968
9,3.254370
10,3.169430
11,3.279442
12,2.995069
13,3.332903
14,3.312381
15,3.130461
16,3.052283
17,3.073327
18,3.097633
19,3.130721
20,3.137171
21,3.130834
22,3.137649
23,3.032067
24,3.003056
25,3.075487
26,3.145300
27,3.072298
28,2.802180
29,3.023458
30,3.199351
31,3.208432
32,3.128218
33,2.963167
34,3.197853
35,3.157814
36,3.084462
37,3.313812
38,2.980728
39,3.150343
40,3.161998
41,3.084554
42,3.031361
43,2.951122
44,3.027334
45,3.272174
46,2.947320
47,2.952512
48,3.141142
49,3.084022
50,3.136950
51,3.295614
52,2.969318
53,3.180484
54,3.160164
55,3.143832
56,3.278276
57,3.181437
58,3.115448
59,3.147063
60,2.906070
61,3.071571
62,2.972179
63,2.962022
64,3.206321
65,3.049125
66,3.220869
67,3.260496
68,3.087601
69,2.970426
70,3.180775
71,2.853442
72,2.868178
73,3.324868
74,3.001187
75,3.144931
76,3.053759
77,3.283384
78,3.139277
79,3.213185
80,3.094704
81,3.284960
82,3.096092
83,3.184024
84,3.256757
85,3.167010
86,2.977097
87,3.171411
88,3.069321
89,3.475440
90,3.148779
91,3.157694
92,3.135341
93,3.284415
94,3.183568
95,3.364614
96,3.132144
97,3.200680
98,3.184488
99,3.071110
100,2.987735
101,3.114914
102,3.140936
103,3.356595
104,3.149091
105,3.415855
106,3.145411
107,3.350602
108,3.284030
109,3.471263
110,3.335419
111,3.618675
112,3.641866
113,3.131339
114,3.648128
115,3.376101
116,3.468032
117,3.552299
118,3.446068
119,3.325056
120,3.155942
121,2.957051
122,3.212254
123,3.192683
124,3.216702
125,3.206404
126,3.048754
127,3.061531
128,3.404973
129,2.975111
130,3.351070
131,3.359895
132,3.433271
133,3.413034
134,2.986777
135,3.382981
136,3.136760
137,3.112736
138,3.270899
139,3.170088
140,3.051477
141,3.253854
142,3.304014
143,3.128635
144,3.117867
145,3.206277
146,2.979342
147,2.891062
148,3.290604
149,3.177220
150,3.085489
151,2.930102
152,3.161259
153,3.149671
154,3.214058
155,3.138364
156,3.041141
157,3.134428
158,3.149724
159,2.977360
160,3.339650
161,2.989146
162,3.565837
163,3.209026
164,3.157735
165,3.181358
166,3.141600
167,2.913369
168,3.414647
169,2.975441
170,3.263989
171,3.115073
172,3.246010
173,3.012885
174,3.112027
175,3.062249
176,3.325044
177,3.142563
178,2.909004
179,3.306215
180,3.201858
181,3.177057
182,3.194572
183,3.217792
184,3.192693
185,3.157015
186,3.169536
187,2.902486
188,3.000424
189,3.068123
190,3.125761
191,2.983583
192,3.080584
193,3.150303
194,3.416058
195,3.386368
196,3.198468
197,2.986531
198,3.321202
199,3.038949
200,3.162156
201,3.226114
202,3.207999
203,3.192454
204,3.027771
205,2.913699
206,3.252751
207,3.222030
208,3.271461
209,3.148562
210,3.189807
211,3.067053
212,3.234050
213,3.142996
214,2.947883
215,3.047332
216,3.277358
217,3.423225
