step,loss
0,3.008366
1,10.737901
2,10.714997
3,9.062364
4,8.341246
5,8.525212
6,7.890349
7,7.479023
8,7.749768
9,7.114351
10,6.925644
11,6.907548
12,7.275576
13,6.882226
14,6.846097
15,6.797454
16,6.584179
17,6.091004
18,6.306750
19,5.782212
20,5.438681
21,5.424139
22,5.344659
23,5.047152
24,5.028815
25,4.837815
26,4.708097
27,4.659075
28,3.953495
29,4.250584
30,4.362326
31,4.238289
32,4.253771
33,4.427614
34,4.354175
35,4.247334
36,3.964157
37,3.967190
38,4.002527
39,3.944206
40,4.102962
41,3.799613
42,4.008943
43,3.914986
44,3.466016
45,4.078962
46,3.869356
47,3.994514
48,3.730790
49,4.041940
50,3.688927
51,3.890983
52,3.505363
53,3.702892
54,3.635729
55,3.830462
56,3.804028
57,3.943083
58,3.698114
59,3.828837
60,3.755336
61,3.427623
62,3.589863
63,3.845522
64,3.554396
65,3.557481
66,3.559105
67,3.505597
68,3.532630
69,3.823910
70,4.038760
71,3.526156
72,3.678661
73,3.376067
74,3.332945
75,3.708442
76,3.537690
77,3.704854
78,3.534913
79,3.596203
80,3.604576
81,3.545297
82,3.506054
83,3.728743
84,3.456872
85,3.455620
86,4.013292
87,3.543818
88,3.739749
89,3.853137
90,3.806650
91,3.409002
92,3.240286
93,3.492782
94,3.728668
95,3.530314
96,3.808386
97,3.386206
98,3.711335
99,3.447444
100,3.756156
101,3.434873
102,3.527227
103,3.541491
104,3.600918
105,3.765996
106,3.920383
107,3.513374
108,3.680541
109,3.425737
110,3.288614
111,3.827285
112,3.781966
113,3.836494
114,3.640090
115,3.687066
116,3.524861
117,3.598407
118,3.550422
119,3.823694
120,3.469035
121,3.383767
122,3.373904
123,3.491348
124,3.626984
125,3.430485
126,3.443627
127,3.407833
128,3.509761
129,3.528758
130,3.185978
131,3.607608
132,3.448586
133,3.609971
134,3.522375
135,3.406652
136,3.726456
137,3.658606
138,3.418153
139,3.701796
140,3.742331
141,3.455609
142,3.336632
143,3.738512
144,3.797350
145,3.774014
146,3.548039
147,3.627569
148,3.373261
149,3.620760
150,3.507332
151,3.553655
152,3.472974
153,3.582951
154,3.764768
155,3.303841
156,3.417982
157,3.549049
158,3.566409
159,3.489105
160,3.374557
161,3.641309
162,3.718056
163,3.676911
164,3.258419
165,3.573247
166,3.511104
167,3.397033
168,3.483214
169,3.368882
170,3.374320
171,3.529077
172,3.447837
173,2.993303
174,3.320666
175,3.662594
176,3.594013
177,3.363077
178,3.288976
179,3.527063
180,3.405811
181,3.411564
182,3.495374
183,3.612405
184,3.554205
185,3.403811
186,3.543099
187,3.426671
188,3.544580
189,3.722809
190,3.183879
191,3.231219
192,3.468391
193,3.571607
194,3.638927
195,3.540309
196,3.344167
197,3.782252
198,3.610322
199,3.632118
200,3.626128
201,3.559523
202,3.443310
203,3.300754
204,3.440362
205,3.343865
206,3.385993
207,3.714144
208,3.634355
209,3.389226
210,3.760893
211,3.423307
212,3.533497
213,3.603389
214,3.595132
215,3.309511
216,3.155946
217,3.382806
218,3.567309
219,3.390085
220,3.576940
221,3.596278
222,3.286920
223,3.592036
224,3.312923
225,3.482166
226,3.530890
227,3.474841
228,3.142596
229,3.561369
230,3.570796
231,3.641407
232,3.549105
233,3.529157
234,3.621086
235,3.267199
236,3.630589
237,3.377813
238,3.519526
239,3.234046
240,3.624669
241,3.228833
242,3.611824
243,3.483494
244,3.427593
245,3.270221
246,3.493183
247,3.315851
248,3.500952
249,3.317240
250,3.294778
251,3.256517
252,3.478419
253,3.235739
254,2.969731
255,3.486959
256,3.583470
257,3.291268
258,3.464204
259,3.240002
260,3.387546
261,3.275017
262,3.538064
263,3.140787
264,3.437738
265,3.471299
266,3.421122
267,3.505517
268,3.361416
269,3.275811
270,3.468927
271,3.196174
272,3.342239
273,3.504627
274,3.298038
275,3.315786
276,3.450171
277,3.452328
278,3.574259
279,3.469365
280,3.425180
281,3.142403
282,3.305741
283,3.641718
284,3.527961
285,3.447515
286,3.310941
287,3.403533
288,3.196752
289,3.587666
290,3.673187
291,3.281177
292,3.701774
293,3.236580
294,3.454191
295,3.418241
296,3.114516
297,3.198830
298,3.357224
299,3.229683
300,3.465147
301,3.367280
302,3.445728
303,3.423503
304,3.611878
305,3.271641
306,3.069548
307,3.270437
308,3.278841
309,3.733372
310,3.604431
311,3.466258
312,3.233571
313,3.430430
314,3.246134
315,3.206158
316,3.487761
317,3.518658
318,3.368931
319,3.458185
320,3.682710
321,3.455692
322,3.233258
323,3.246990
324,3.509321
325,3.372140
326,3.413363
327,3.500753
328,3.393612
329,3.313792
330,3.333062
331,3.574903
332,3.165062
333,3.043874
334,3.469848
335,3.454963
336,3.296499
337,3.402079
338,3.156754
339,3.378795
340,3.600044
341,3.638659
342,3.582234
343,3.082410
344,3.367368
345,3.252084
346,3.587751
347,3.365979
348,3.688767
349,3.268331
350,3.257709
351,3.299632
352,3.545556
353,3.506178
354,3.325955
355,3.430605
356,3.519580
357,3.538492
358,3.432054
359,3.359330
360,3.447341
361,3.688421
362,3.013650
363,3.392758
364,3.598227
365,3.523596
366,3.332175
367,3.097721
368,3.436077
369,3.294876
370,3.343687
371,3.372123
372,3.265429
373,3.523920
374,3.190935
375,3.414097
376,3.362561
377,3.545000
378,3.427807
379,3.384995
380,3.456751
381,3.247824
382,3.410171
383,3.300831
384,3.452312
385,3.213409
386,3.509387
387,3.490139
388,3.188336
389,3.440002
390,3.366932
391,3.627042
392,3.341629
393,3.279822
394,3.295180
395,3.043940
396,3.644913
397,3.301235
398,3.474503
399,3.388809
