step,loss
0,3.062501
1,10.323463
2,9.100523
3,8.031849
4,6.980611
5,6.970164
6,6.255807
7,5.647093
8,5.338749
9,5.307046
10,4.847092
11,4.804894
12,4.783516
13,4.405057
14,4.358666
15,4.335365
16,4.356870
17,3.984226
18,4.005419
19,3.895920
20,3.983004
21,3.714391
22,3.917817
23,3.715804
24,3.973948
25,3.940567
26,3.707069
27,3.739912
28,3.781855
29,3.896373
30,3.869375
31,3.593862
32,3.544636
33,3.657042
34,3.574780
35,3.390914
36,3.682672
37,3.706735
38,3.728767
39,3.648527
40,3.804881
41,3.522678
42,3.663920
43,3.412751
44,3.681432
45,3.386318
46,3.552742
47,3.701928
48,3.451296
49,3.813331
50,3.490372
51,3.566974
52,3.635358
53,3.980224
54,3.412035
55,3.573585
56,3.640172
57,3.575421
58,3.636408
59,3.458573
60,3.477185
61,3.348507
62,3.111370
63,3.257488
64,3.603283
65,3.524289
66,3.598985
67,3.463644
68,3.554449
69,3.521580
70,3.393770
71,3.321455
72,3.494206
73,3.751155
74,3.675974
75,3.554659
76,3.512777
77,3.711272
78,3.251179
79,3.402421
80,3.086643
81,3.444369
82,3.714931
83,3.217855
84,3.579261
85,3.407206
86,3.548949
87,3.543353
88,3.474577
89,3.176146
90,3.401794
91,3.593724
92,3.575749
93,3.257123
94,3.568627
95,3.444482
96,3.424533
97,3.407277
98,3.221780
99,3.495049
100,3.679413
101,3.540137
102,3.344630
103,3.385497
104,3.415560
105,3.593355
106,3.677935
107,3.355557
108,3.350345
109,3.376670
110,3.402613
111,3.529679
112,3.415959
113,3.844392
114,3.475248
115,3.252399
116,3.432638
117,3.585466
118,3.563340
119,3.447891
120,3.319241
121,3.106927
122,3.569664
123,3.254512
124,3.483767
125,3.387655
126,3.681284
127,3.509318
128,3.555364
129,3.492187
130,3.351864
131,3.625530
132,3.340305
133,3.239891
134,3.349218
135,3.117094
136,3.516927
137,3.155122
138,3.564013
139,3.787413
140,3.716148
141,3.446209
142,3.745368
143,3.454342
144,3.340661
145,3.317145
146,3.360070
147,3.492071
148,3.455938
149,3.148654
150,3.488179
151,3.612970
152,3.382019
153,3.780926
154,3.172782
155,3.344680
156,3.493064
157,3.314055
158,3.204917
159,3.352022
160,3.446467
161,3.368415
162,3.551339
163,3.363532
164,3.477514
165,3.147014
166,3.266671
167,3.282061
168,3.457035
169,3.499310
170,3.437841
171,3.253126
172,3.418237
173,3.397618
174,3.445246
175,3.427241
176,3.334696
177,3.386869
178,3.494678
179,3.430621
180,3.455346
181,3.587182
182,3.472382
183,3.257710
184,3.407769
185,3.360438
186,3.742038
187,3.263881
188,3.291324
189,3.427180
190,3.408729
191,3.616852
192,3.237827
193,3.248636
194,3.506115
195,3.353010
196,3.493196
197,3.299176
198,3.320323
199,3.372133
200,3.321854
201,3.491550
202,3.420209
203,3.447776
204,3.399781
205,3.626739
206,3.374075
207,3.308116
208,3.315541
209,3.456261
210,3.522905
211,3.257877
212,3.270303
213,3.432136
214,3.295983
215,3.371322
216,3.162887
217,3.591107
218,3.353945
219,3.411954
220,3.371235
221,3.335237
222,3.327058
223,3.291577
224,3.515041
225,3.534708
226,3.258340
227,3.088156
228,3.405678
229,3.542495
230,3.333366
231,3.319604
232,3.553314
233,3.481716
234,3.563743
235,3.427248
236,3.437851
237,3.482957
238,3.460931
239,3.089393
240,3.481335
241,3.609427
242,3.206957
243,3.247287
244,3.486395
245,3.260207
246,3.343685
247,3.386146
248,3.352004
249,3.444425
250,3.245075
251,3.330666
252,3.051841
253,3.224967
254,3.217046
255,3.314914
256,3.366077
257,3.329704
258,3.290225
259,3.336061
260,3.199342
261,3.483321
262,3.676028
263,3.487186
264,3.355191
265,3.861471
266,3.348381
267,3.392398
268,3.328951
269,3.413837
270,3.184978
271,3.288622
272,3.111484
273,3.654831
274,3.501945
275,3.355034
276,3.636556
277,3.375329
278,3.593399
279,3.460442
280,3.353340
281,3.387483
282,3.398718
283,3.596635
284,3.302534
285,3.506139
286,3.231532
287,3.262013
288,3.190953
289,3.343385
290,3.600690
291,3.239523
292,3.326599
293,3.328500
294,3.269694
295,3.562191
296,3.243378
297,3.479564
298,3.280475
299,3.201399
300,3.552008
301,3.389051
302,3.434167
303,3.119509
304,3.438278
305,3.346461
306,3.221132
307,3.275053
308,3.276513
309,3.227618
310,3.363580
311,3.390863
312,3.523213
313,3.407418
314,3.212419
315,3.179507
316,3.431427
317,3.685924
318,3.474253
319,3.503476
320,3.532904
321,3.791669
322,3.495884
323,3.355247
324,3.342618
325,3.384745
326,3.256164
327,3.280761
328,3.337069
329,3.335176
330,3.357709
331,3.214578
332,3.342588
333,3.573558
334,3.356223
335,3.462195
336,3.586666
337,3.421621
338,3.047379
339,3.406968
340,3.401533
341,2.912285
342,3.363404
343,3.196435
344,3.302135
345,3.203974
346,3.335171
347,3.056966
348,3.305477
349,3.306580
350,3.364062
351,3.538138
352,3.316609
353,3.091375
354,3.385489
355,3.302857
356,3.278689
357,3.326485
358,3.468658
359,3.291378
360,3.494800
361,3.427816
362,3.321892
363,3.321830
364,3.540072
365,3.506485
366,3.224472
367,3.273629
368,3.487063
369,3.391449
370,3.136159
371,3.374381
372,3.384195
373,3.292261
374,3.191187
375,3.333327
376,3.374916
377,3.499742
378,3.109210
379,3.585641
380,3.154518
381,3.285908
382,3.396796
383,3.261843
384,3.505821
385,3.357491
386,3.245634
387,3.439970
388,3.355497
389,3.586249
390,3.440888
391,3.500940
392,3.437225
393,3.393033
394,3.589549
395,3.171118
396,3.294631
397,3.445877
398,3.201197
399,3.381582
